ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-09-20,65.99168889946976,68.13874361673905,70.48474313869009,65.99168889946976,65.99168889946976,3.314579930324674,3.314579930324674,3.314579930324674,-0.046035939199779274,-0.046035939199779274,-0.046035939199779274,3.3606158695244535,3.3606158695244535,3.3606158695244535,0.0,0.0,0.0,69.30626882979443
2019-09-21,65.99565115587195,68.22187444619348,70.47742939047832,65.99565115587195,65.99565115587195,3.37594741381923,3.37594741381923,3.37594741381923,0.02429762412133859,0.02429762412133859,0.02429762412133859,3.3516497896978916,3.3516497896978916,3.3516497896978916,0.0,0.0,0.0,69.37159856969119
2019-09-22,66.05123646523161,68.22087283994834,70.55549816372022,66.05123646523161,66.05123646523161,3.3469819906093714,3.3469819906093714,3.3469819906093714,-0.0003025967076803023,-0.0003025967076803023,-0.0003025967076803023,3.3472845873170516,3.3472845873170516,3.3472845873170516,0.0,0.0,0.0,69.39821845584098
2019-09-23,66.10682177459127,68.29493569601443,70.47646916936469,66.10682177459127,66.10682177459127,3.2480089405194437,3.2480089405194437,3.2480089405194437,-0.10131879899665042,-0.10131879899665042,-0.10131879899665042,3.349327739516094,3.349327739516094,3.349327739516094,0.0,0.0,0.0,69.35483071511071
2019-09-24,66.16240708395092,68.39622837918935,70.64230204864808,66.16240708395092,66.16240708395092,3.4285074969638853,3.4285074969638853,3.4285074969638853,0.06890768877156324,0.06890768877156324,0.06890768877156324,3.359599808192322,3.359599808192322,3.359599808192322,0.0,0.0,0.0,69.59091458091481
2019-09-26,66.27357770267025,68.61230741646955,70.79282499727739,66.27357770267025,66.27357770267025,3.377561175554086,3.377561175554086,3.377561175554086,-0.03430953537495235,-0.03430953537495235,-0.03430953537495235,3.411870710929039,3.411870710929039,3.411870710929039,0.0,0.0,0.0,69.65113887822434
2019-09-27,66.3291630120299,68.62171463463976,70.8513041586378,66.3291630120299,66.3291630120299,3.4110739483829713,3.4110739483829713,3.4110739483829713,-0.04603593920000659,-0.04603593920000659,-0.04603593920000659,3.4571098875829773,3.4571098875829773,3.4571098875829773,0.0,0.0,0.0,69.74023696041287
2019-09-30,66.49591894010887,69.00148680793188,71.2302375845822,66.49591894010887,66.49591894010887,3.5832695741651985,3.5832695741651985,3.5832695741651985,-0.1013187989966303,-0.1013187989966303,-0.1013187989966303,3.6845883731618283,3.6845883731618283,3.6845883731618283,0.0,0.0,0.0,70.07918851427407
2019-10-01,66.55150424946852,69.27028289056967,71.50003423022233,66.55150424946852,66.55150424946852,3.862584688791144,3.862584688791144,3.862584688791144,0.06890768877134712,0.06890768877134712,0.06890768877134712,3.793677000019797,3.793677000019797,3.793677000019797,0.0,0.0,0.0,70.41408893825967
2019-10-03,66.66267486818785,69.5584380342284,71.8542466334305,66.66267486818785,66.66267486818785,4.028633640452876,4.028633640452876,4.028633640452876,-0.03430953537492406,-0.03430953537492406,-0.03430953537492406,4.0629431758278,4.0629431758278,4.0629431758278,0.0,0.0,0.0,70.69130850864073
